iter	RMSE
0	55.05647897
1	54.71129288
2	54.37405171
3	54.04201317
4	53.72624596
5	53.39438613
6	53.07052644
7	52.74082282
8	52.40866604
9	52.08170141
10	51.75307642
11	51.44182152
12	51.13663308
13	50.82990036
14	50.52549971
15	50.21938027
16	49.90794369
17	49.6003149
18	49.31012025
19	49.03548155
20	48.73875626
21	48.46847668
22	48.19537829
23	47.92741199
24	47.66527018
25	47.38911656
26	47.1309995
27	46.87219873
28	46.60205524
29	46.34795754
30	46.10330026
31	45.84790238
32	45.60367135
33	45.35125361
34	45.10176194
35	44.87360971
36	44.63002899
37	44.39124782
38	44.17432323
39	43.93270441
40	43.69496329
41	43.46348374
42	43.23582894
43	43.03023287
44	42.82095775
45	42.59751725
46	42.39455052
47	42.17399408
48	41.95009584
49	41.73548048
50	41.52530836
51	41.33418353
52	41.14821763
53	40.94485409
54	40.74834677
55	40.56364002
56	40.37689092
57	40.1945169
58	40.00348939
59	39.8166798
60	39.62672787
61	39.44184111
62	39.27163705
63	39.09063767
64	38.90745438
65	38.72828584
66	38.54736043
67	38.37202769
68	38.20666836
69	38.03060502
70	37.85856644
71	37.69590521
72	37.52534992
73	37.36068646
74	37.19960561
75	37.03715477
76	36.87682946
77	36.72290772
78	36.56752801
79	36.40189122
80	36.24274317
81	36.09804874
82	35.94419333
83	35.79048682
84	35.65570123
85	35.51487102
86	35.36497004
87	35.23027253
88	35.09943952
89	34.97372855
90	34.82699142
91	34.68449559
92	34.54507468
93	34.42612864
94	34.30779969
95	34.19278293
96	34.07319124
97	33.94789663
98	33.81486067
99	33.69406816
100	33.56789064
101	33.43564006
102	33.31134646
103	33.18809226
104	33.06305041
105	32.95392705
106	32.84268942
107	32.72726125
108	32.61699755
109	32.50389617
110	32.39211192
111	32.28043419
112	32.17120343
113	32.07242242
114	31.96445721
115	31.86389423
116	31.76323386
117	31.66224113
118	31.56318727
119	31.46245568
120	31.36297352
121	31.26677185
122	31.16260385
123	31.06565736
124	30.96853836
125	30.87721038
126	30.78275106
127	30.68601267
128	30.60500069
129	30.52203086
130	30.42948016
131	30.34492703
132	30.25475172
133	30.16360605
134	30.08015022
135	29.98984296
136	29.90466608
137	29.82467828
138	29.74163113
139	29.65787466
140	29.58089925
141	29.50624136
142	29.43392536
143	29.35371588
144	29.27663196
145	29.19942076
146	29.12234484
147	29.04667626
148	28.97325503
149	28.89358904
150	28.82311407
151	28.75889171
152	28.684007
153	28.61357532
154	28.54842403
155	28.47933884
156	28.41004207
157	28.34398787
158	28.27842409
159	28.21423126
160	28.15749925
161	28.10255128
162	28.03902751
163	27.97547579
164	27.91226909
165	27.8607523
166	27.79378753
167	27.73968845
168	27.68077767
169	27.61903475
170	27.56521149
171	27.50410785
172	27.44558249
173	27.39671888
174	27.33814349
175	27.28032167
176	27.22257299
177	27.1750889
178	27.11889154
179	27.06911093
180	27.01416428
181	26.96122731
182	26.90681183
183	26.85804884
184	26.80507994
185	26.75678317
186	26.71016485
187	26.66392367
188	26.619832
189	26.57162152
190	26.52326153
191	26.4785
192	26.43637032
193	26.40142514
194	26.35952944
195	26.31795519
196	26.27159036
197	26.22837613
198	26.1797459
199	26.13994197
200	26.09527301
201	26.04744825
202	26.00405742
203	25.9632524
204	25.92127932
205	25.87879897
206	25.83651707
207	25.79496885
208	25.75259794
209	25.70990156
210	25.67159924
211	25.63043485
212	25.5945898
213	25.55957373
214	25.5195154
215	25.48231476
216	25.44831195
217	25.41648101
218	25.38775602
219	25.34720147
220	25.31071962
221	25.27926185
222	25.24625063
223	25.21011215
224	25.17823451
225	25.14598187
226	25.11154607
227	25.08005326
228	25.04754054
229	25.01642969
230	24.98718021
231	24.9558629
232	24.92697964
233	24.89204795
234	24.86164083
235	24.83220819
236	24.80509027
237	24.78090762
238	24.74877142
239	24.72352536
240	24.68972113
241	24.66071337
242	24.63277564
243	24.60690608
244	24.57846007
245	24.55037638
246	24.5210303
247	24.49127758
248	24.46297953
249	24.43425638
250	24.40912423
251	24.37865055
252	24.35493456
253	24.32222451
254	24.29496215
255	24.26910538
256	24.2424744
257	24.2198754
258	24.1940191
259	24.16969348
260	24.14908226
261	24.1255824
262	24.10426038
263	24.08452205
264	24.06162008
265	24.03826018
266	24.01196367
267	23.98579337
268	23.96625948
269	23.9410583
270	23.91848607
271	23.89549777
272	23.87474707
273	23.85025016
274	23.8244745
275	23.80420503
276	23.77945874
277	23.75834512
278	23.73709466
279	23.71759964
280	23.69809027
281	23.68023321
282	23.65725485
283	23.63716063
284	23.61869788
285	23.59828121
286	23.57801201
287	23.55866479
288	23.53685566
289	23.51858701
290	23.49792601
291	23.48241371
292	23.46851219
293	23.44694483
294	23.4285
295	23.41446496
296	23.395361
297	23.375968
298	23.36346034
299	23.35119717
300	23.33407097
301	23.31686378
302	23.29752449
303	23.28095978
304	23.26425581
305	23.25028351
306	23.23504899
307	23.22010681
308	23.20216121
309	23.1861282
310	23.17182579
311	23.15406362
312	23.13917061
313	23.1257637
314	23.11207422
315	23.09407918
316	23.08012243
317	23.06407188
318	23.04620143
319	23.02933981
320	23.01256976
321	22.99627589
322	22.98266146
323	22.97250807
324	22.95890917
325	22.94601359
326	22.93217506
327	22.91314796
328	22.89593786
329	22.88185621
330	22.86912974
331	22.85335651
332	22.84023462
333	22.82726466
334	22.81633122
335	22.80489988
336	22.78827863
337	22.77331775
338	22.75923845
339	22.74685254
340	22.73212641
341	22.71902544
342	22.7054646
343	22.68901509
344	22.67895862
345	22.66594196
346	22.65205135
347	22.64107521
348	22.62831805
349	22.61599612
350	22.60669812
351	22.5915812
352	22.58097888
353	22.56976289
354	22.55872459
355	22.54633252
356	22.53010132
357	22.51770046
358	22.50656308
359	22.49356048
360	22.47950362
361	22.4677813
362	22.4540075
363	22.44151926
364	22.43120026
365	22.4188948
366	22.40982265
367	22.39867314
368	22.38582763
369	22.37114591
370	22.3597921
371	22.34608569
372	22.34000254
373	22.32359575
374	22.30947063
375	22.3002096
376	22.2900526
377	22.27989527
378	22.26849319
379	22.25650895
380	22.24544012
381	22.23316478
382	22.21883532
383	22.20773073
384	22.1970403
385	22.18620457
386	22.17295104
387	22.16342963
388	22.15400672
389	22.14605175
390	22.13739798
391	22.12705724
392	22.11654238
393	22.10545186
394	22.09544981
395	22.08096523
396	22.07202131
397	22.06059344
398	22.05182781
399	22.04375856
400	22.03615195
401	22.02802996
402	22.01933952
403	22.01214448
404	22.00302519
405	21.99435198
406	21.98629457
407	21.97537967
408	21.96585921
409	21.95590302
410	21.94928534
411	21.93894988
412	21.92708161
413	21.91939657
414	21.9114703
415	21.90557348
416	21.89719743
417	21.88852262
418	21.87750146
419	21.86972242
420	21.85924999
421	21.85011218
422	21.8437218
423	21.83365616
424	21.81937548
425	21.81070543
426	21.80278736
427	21.79254894
428	21.7854787
429	21.77385582
430	21.76643586
431	21.75949584
432	21.75324528
433	21.7412961
434	21.73113014
435	21.72495098
436	21.71613241
437	21.71216105
438	21.70552989
439	21.69521434
440	21.68164817
441	21.674088
442	21.66337381
443	21.6547266
444	21.64979326
445	21.64561845
446	21.63604502
447	21.6328832
448	21.62424217
449	21.6190945
450	21.60851491
451	21.59800806
452	21.59229567
453	21.58900009
454	21.58278491
455	21.57377053
456	21.56597054
457	21.55528231
458	21.54951877
459	21.54200314
460	21.53443176
461	21.52690063
462	21.52217497
463	21.51580724
464	21.50671421
465	21.49872615
466	21.49115224
467	21.48299597
468	21.47610954
469	21.46595244
470	21.46067676
471	21.45415058
472	21.44851263
473	21.44282065
474	21.43633044
475	21.43195817
476	21.42706084
477	21.42253796
478	21.41561314
479	21.41000175
480	21.40348946
481	21.39691402
482	21.39137153
483	21.38543164
484	21.37633099
485	21.37120574
486	21.36480628
487	21.35905491
488	21.35304665
489	21.34856321
490	21.3440585
491	21.33512679
492	21.33202281
493	21.32746919
494	21.32252183
495	21.31546582
496	21.30894432
497	21.30237132
498	21.29363779
499	21.28524037
